channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
407,26,2017-04-17T13:09:31+02:00,00:02:59:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Ulisse generoso 5Acte I Sc 13) Eumée et Ulysse,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,28,2017-04-17T13:12:35+02:00,00:02:22:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Lieto cammino (Acte II Sc 1) Télémaque et Minerve,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,29,2017-04-17T13:14:57+02:00,00:02:29:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : O gran figlio d'Ulisse! (Acte II Sc 2) Eumée Télémaque et Ulysse,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,30,2017-04-17T13:17:26+02:00,00:01:18:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Vostri cortesi auspici (Acte II Sc 2) Télémaque Eumée et Ulysse,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,31,2017-04-17T13:18:44+02:00,00:01:55:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Dolce speme il cor lusinga (Acte II Sc 2) Eumée Ulysse et Télémaque,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,32,2017-04-17T13:20:39+02:00,00:02:28:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Che veggio ohimè che miro (Acte II Sc 3) Télémaque,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,33,2017-04-17T13:23:07+02:00,00:04:23:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Telemaco Telemaco (Acte II Sc 3) Ulysse et Télémaque,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,34,2017-04-17T13:27:30+02:00,00:02:56:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Eurimaco la donna insomma (Acte II Sc 4) Mélantho et Eurimaque,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,35,2017-04-17T13:30:26+02:00,00:01:48:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Sono l'altre Regine (Acte II Sc 5) Antinoüs Amphinomos Pisandro et Pénélope,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,36,2017-04-17T13:32:14+02:00,00:01:17:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Cari tanto mi sete (Acte II Sc 5) Pénélope,Il ritorno d'Ulisse in patria SV 325 (intégrale),,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
